path,size_bytes,sha256,format,mode,width,height,thumbnail_mean_luma,thumbnail_min_luma,thumbnail_max_luma
final_report_baseline/figures/automated_review_label_counts.png,130690,a6f21d6291d8addcb8382e2ebcaf96fe8f5d5cd603b5ee70b4b7329a243d06f0,PNG,RGBA,2160,1170,244.278103,109,255
review_panels_phase2c_top120/rank_001_E_N001012_N002152_ct_panel.png,294691,557582fdf5b5d40a9301a64e90d07e3851bcbca93e3ac02175bf4334f3e66f5f,PNG,RGBA,2790,1655,164.561087,0,255
review_panels_phase2c_top120/rank_002_E_N001010_N001021_ct_panel.png,311345,e8042f105165b9b54f6766509cf3c8fcbed734da79758589cb101b9ddc73b307,PNG,RGBA,2790,1655,190.886899,4,255
review_panels_phase2c_top120/rank_003_E_N001012_N001021_ct_panel.png,313681,28cbfbde815147a887c168ed9d3dd4621fc7a5c95d33a60ce1b1d9b0111142f3,PNG,RGBA,2790,1655,171.954641,0,255
review_panels_phase2c_top120/rank_004_E_N001015_N001035_ct_panel.png,317725,4e3d6c4699a223c37705fe7e8336aa284c7522f410f726d18ecad1926b4c536c,PNG,RGBA,2790,1655,174.375077,0,255
review_panels_phase2c_top120/rank_005_E_N001015_N002155_ct_panel.png,314220,cb2a03517e6145f92b4ef2c9ae3dc7b993f662f6c0e86ac2fc7020b0feb8bdc8,PNG,RGBA,2790,1655,173.591257,0,255
review_panels_phase2c_top120/rank_006_E_N001024_N001035_ct_panel.png,314231,a777addba4f6e78318cb824388718aa6618afecc13a57e6cf59a12e0acb264f3,PNG,RGBA,2790,1655,189.68344,0,255
review_panels_phase2c_top120/rank_007_E_N001029_N001049_ct_panel.png,318489,f3207930175294fa72ecc203a419c4a753b7f0572626f36ed5acc538c7b72a67,PNG,RGBA,2790,1655,174.812757,0,255
review_panels_phase2c_top120/rank_008_E_N001029_N002169_ct_panel.png,311606,16242093bd2df16541189e5dc0dfd133ff095544b3f861aaec21d8195d595ef9,PNG,RGBA,2790,1655,174.467362,0,255
review_panels_phase2c_top120/rank_009_E_N001038_N001049_ct_panel.png,317017,0adec24992d8ac301783c0db5302f24468db372daf49bee7f30eee4860bdd76d,PNG,RGBA,2790,1655,189.765317,0,255
review_panels_phase2c_top120/rank_010_E_N001043_N002183_ct_panel.png,315392,21a6def48671cb22ddd8725bfd4ac781722cca08ad9e25b6daef06b46ab52ea1,PNG,RGBA,2790,1655,173.984144,0,255
review_panels_phase2c_top120/rank_011_E_N002146_N002155_ct_panel.png,309988,1d61ac9df2e13a0f167b223170780b3c3faeae57d9bc8aa95034763a10c45039,PNG,RGBA,2790,1655,171.228259,0,255
review_panels_phase2c_top120/rank_012_E_N002149_N002169_ct_panel.png,309402,309b954bc043d91c6a11cebf5bf96b24cde8ec269e7bc7ee49e26768da10bcf9,PNG,RGBA,2790,1655,172.345343,0,255
review_panels_phase2c_top120/rank_013_E_N001379_N001506_ct_panel.png,321443,3ba60f4dab941a837f8ac2c97bfff568d9905a87f5ed5abbb08f6facef85e596,PNG,RGBA,2790,1655,193.025519,0,255
review_panels_phase2c_top120/rank_014_E_N000361_N000363_ct_panel.png,349540,af2d753356ccef4b0423b0c108deff53d21456aeeb553fa464dfedf8a477ef4b,PNG,RGBA,2790,1655,197.174034,13,255
review_panels_phase2c_top120/rank_015_E_N001385_N001495_ct_panel.png,344119,8e2cfb1991e6c453a5dd46cd2643db9549499341ba5ba41dbfda980a0ab39ec0,PNG,RGBA,2790,1655,192.745091,11,255
review_panels_phase2c_top120/rank_016_E_N008313_N008315_ct_panel.png,316920,3fa2227d9772ad0b7729d8237e06545ff9acc5e033b6c9615092b97dbf206823,PNG,RGBA,2790,1655,192.729749,0,255
review_panels_phase2c_top120/rank_017_E_N000357_N000372_ct_panel.png,343017,77e75dc9366ad5c7081d1dffc735470397b3e3cc99a15a01bbfae06c2528d8fc,PNG,RGBA,2790,1655,192.683003,8,255
review_panels_phase2c_top120/rank_018_E_N002643_N002645_ct_panel.png,322118,db9e6e65e02f42d4e81fdb02b80ecb1027b16391ba2d3724d2851632667f7736,PNG,RGBA,2790,1655,193.416375,0,255
review_panels_phase2c_top120/rank_019_E_N000245_N000372_ct_panel.png,319598,f19444a1f8cbc079ea4adb93d977bb1861b7e9b2ae2d20f3ce81766aef359fcb,PNG,RGBA,2790,1655,193.621788,0,255
