selection_group,strut_id,preliminary_continuity,preliminary_longest_gap_voxels,human_label,review_notes
random,83,1.0,0.0,,
random,376,0.13725490196078433,41.28107487481633,,
random,2645,0.23529411764705882,36.59004363904177,,
random,3212,0.19607843137254902,38.466456133351556,,
random,3363,0.23529411764705882,36.590043639041745,,
random,3628,0.23529411764705882,36.590043639041745,,
random,3903,0.0,47.848518604900796,,
random,7316,0.3333333333333333,18.764124943098416,,
random,7862,0.8627450980392157,6.567443730084431,,
random,9412,1.0,0.0,,
random,10468,0.6078431372549019,13.134887460168809,,
random,13782,1.0,0.0,,
random,14453,1.0,0.0,,
random,14734,1.0,0.0,,
random,16065,0.29411764705882354,21.57874368456304,,
random,16085,1.0,0.0,,
random,16466,1.0,0.0,,
random,16771,1.0,0.0,,
random,17950,1.0,0.0,,
random,18237,1.0,0.0,,
preliminary_gap_candidate,6001,0.0,47.84851860490099,,
preliminary_gap_candidate,6002,0.0,47.84851860490093,,
preliminary_gap_candidate,8034,0.0,47.84851860490103,,
preliminary_gap_candidate,8048,0.0,47.84851860490096,,
preliminary_gap_candidate,10067,0.0,47.84851860490099,,
preliminary_gap_candidate,12066,0.0,47.84851860490096,,
preliminary_gap_candidate,12080,0.0,47.84851860490099,,
preliminary_gap_candidate,13177,0.0,47.848518604900924,,
preliminary_gap_candidate,13189,0.0,47.848518604900924,,
preliminary_gap_candidate,14119,0.0,47.84851860490094,,
preliminary_gap_candidate,15205,0.0,47.848518604900924,,
preliminary_gap_candidate,15886,0.0,47.848518604900924,,
preliminary_gap_candidate,15915,0.0,47.84851860490093,,
preliminary_gap_candidate,16027,0.0,47.84851860490102,,
preliminary_gap_candidate,16082,0.0,47.848518604900924,,
preliminary_gap_candidate,16622,0.0,47.84851860490093,,
preliminary_gap_candidate,18291,0.0,47.84851860490095,,
preliminary_gap_candidate,18418,0.0,47.84851860490099,,
preliminary_gap_candidate,18447,0.0,47.84851860490093,,
preliminary_gap_candidate,18451,0.0,47.84851860490102,,
