alignment_error_vox,classification_confidence,classification_reason,classification_status,comparison_applicable,confidence_percent_uncalibrated,connected_support,defect_type,diameter_median_um,diameter_voxels_median,diameter_voxels_p10,diameter_voxels_p90,edge_id,end_x,end_y,end_z,expected_radius_median_voxels,failed_checks,gap_fraction,has_error,height_band,human_review_label,human_review_note,human_review_source,junction0,junction1,length_vox,length_voxels,longest_unsupported_gap_voxels,measurement_valid,median_signed_radial_deviation_voxels,mid_x,mid_y,mid_z,observed_axial_fraction,occupancy,orientation,p90_absolute_radial_deviation_voxels,p90_centerline_displacement_voxels,prediction,prediction_reason,region,registration_uncertainty_voxels,review_required,sample_order,start_x,start_y,start_z,strut_id,thickness_measurement_valid,thickness_um_median,threshold_stability,tiff_measurement_valid
4.501311196495897,medium,low_axial_support_and_large_gap,confirmed,True,75.0,False,broken,390.7648963521012,6.725729713461295,5.5715758041904415,7.294603167453447,E_N000005_N000012,98.79572331838412,52.091507427271225,65.9830991191091,3.531874179840088,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.2352380952380952,True,low,,,,5,12,55.84560994969746,55.42603906088279,13.03831585527433,True,-0.9737613075099708,79.03549746069336,52.246609976502654,85.71106036490713,0.4651162790697674,0.4651162790697674,1:0:-1,0.9893406437657006,4.501311196495897,broken,low_axial_support_and_large_gap,exterior,0.6296126413117267,True,10,59.27527160300262,52.40171252573408,105.43902161070515,10,True,390.7648963521012,1.0,True
4.285014574575769,medium,low_axial_support_and_large_gap,confirmed,True,75.0,False,missing,533.4217330875566,9.181096955035398,5.746425291565097,11.273962251188667,E_N000120_N000123,730.7770092111857,88.47633509519197,105.88605679381948,3.5468573570251465,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.5609523809523811,True,low,,,,123,120,55.84560994969747,55.426039060882886,31.09136857796193,True,-0.2305907209681634,750.5372350688765,88.32123254596053,86.15809554802148,0.2790697674418604,0.2790697674418604,1:0:-1,0.8809795028012101,4.285014574575769,missing,low_axial_support_and_large_gap,exterior,0.6296126413117267,True,214,770.2974609265673,88.16612999672907,66.43013430222348,214,True,533.4217330875566,1.0,True
3.998775191123622,medium,disconnected_or_unsupported_body,confirmed,True,75.0,False,broken,450.8015896171744,7.759063504598528,4.993787654534007,8.14690821492437,E_N000241_N000248,691.7226608862886,167.54401597834115,66.14620062096317,3.534374952316284,"[""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.0723809523809523,True,low,,,,241,248,55.84560994969746,55.42603906088281,4.011789493930565,True,-0.34200667971258,691.8391867339095,187.23338492451273,46.34725595485011,0.9069767441860463,0.9069767441860463,1:-1:0,1.017013231854588,3.998775191123622,broken,disconnected_or_unsupported_body,exterior,0.6296126413117267,True,417,691.9557125815304,206.92275387068435,26.54831128873705,417,True,450.8015896171744,1.0,True
4.555195655520502,medium,disconnected_or_unsupported_body,confirmed,True,75.0,False,broken,372.1995542669648,6.406188541600082,6.068091643098429,9.719442534985214,E_N000246_N000249,731.1787800184982,167.45262991887648,105.66756778186422,3.571056842803955,"[""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.0542857142857142,True,low,,,,249,246,55.84560994969768,55.426039060883014,3.008842120447935,True,-0.3908456147615529,750.9390058761891,167.29752736964502,85.93960653606618,0.8837209302325582,0.8837209302325582,1:0:-1,0.6883843875336972,4.555195655520502,broken,disconnected_or_unsupported_body,exterior,0.6296126413117267,True,434,770.69923173388,167.14242482041357,66.21164529026815,434,True,372.1995542669648,1.0,True
4.333451427693555,medium,disconnected_or_unsupported_body,confirmed,True,75.0,False,broken,412.0807570184632,7.092611996875442,5.68946383830513,7.448541775878313,E_N000624_N000626,732.3840924404356,404.38151438993,105.01210074599832,3.5697152614593506,"[""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.1085714285714285,True,low,,,,626,624,55.845609949697376,55.42603906088271,6.0176842408958375,True,-0.2295353314083013,712.6560328743307,404.4272074196623,85.25141716554782,0.8604651162790697,0.8604651162790697,1:0:1,0.3819358068849952,4.333451427693555,broken,disconnected_or_unsupported_body,exterior,0.6296126413117267,True,1088,692.9279733082258,404.4729004493946,65.49073358509733,1088,True,412.0807570184632,1.0,True
4.472978792322202,medium,low_axial_support_and_large_gap,confirmed,True,75.0,False,broken,325.9246286867175,5.609718221802366,5.136968805110666,7.535736453037938,E_N000956_N000962,457.203573187389,642.6065583942311,64.63893254131672,3.460430860519409,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.3438095238095238,True,low,,,,956,962,55.84560994969732,55.426039060882616,19.056000096170116,True,-0.8142308423655864,457.2879327434242,662.4053368599017,84.32863270145216,0.3720930232558139,0.3720930232558139,1:1:0,0.8368711591226791,4.472978792322202,broken,low_axial_support_and_large_gap,exterior,0.6296126413117267,True,1666,457.3722922994594,682.2041153255723,104.0183328615876,1666,True,325.9246286867175,1.0,True
2.6644928956478866,medium,low_axial_support_and_large_gap,confirmed,True,75.0,False,broken,429.98889860795464,7.400841628364107,7.048649590537179,7.81041036100309,E_N001012_N001018,62.72248975674428,723.5908090075534,64.09322018283666,3.469515800476074,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.3076190476190476,True,low,,,,1012,1018,55.84560994969752,55.426039060882815,17.050105349204905,True,-0.3190052025151115,62.806849312779526,743.3895874732241,83.78292034297212,0.6046511627906976,0.6046511627906976,1:1:0,0.4107474618016189,2.6644928956478866,broken,low_axial_support_and_large_gap,exterior,0.6296126413117267,True,1766,62.89120886881477,763.1883659388948,103.4726205031076,1766,True,429.98889860795464,1.0,True
4.614701353564586,medium,low_axial_support_and_large_gap,confirmed,True,75.0,False,missing,,,,,E_N001010_N001021,102.41166058419628,762.8781608404319,64.01669801151152,3.5601165294647217,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.6695238095238096,True,low,,,,1010,1021,55.84560994969744,55.42603906088278,37.10905281885771,True,-0.9252038281188892,122.17188644188708,762.7230582912005,44.28873676571355,0.1395348837209302,0.1395348837209302,1:0:-1,0.9604366849579802,4.614701353564586,missing,low_axial_support_and_large_gap,exterior,0.6296126413117267,True,1772,141.93211229957785,762.5679557419691,24.560775519915577,1772,False,,0.0,False
4.456740344931787,medium,low_axial_support_and_large_gap,confirmed,True,75.0,False,broken,,,,,E_N001011_N001021,102.41166058419628,762.8781608404319,64.01669801151152,3.5343897342681885,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]",0.2171428571428571,True,low,,,,1011,1021,55.84560994969736,55.426039060882694,12.035368481791672,True,-0.4545104332694418,82.68360101809132,762.9238538701643,44.25601443106109,0.4418604651162791,0.4418604651162791,1:0:1,0.6487268890869715,4.456740344931787,broken,low_axial_support_and_large_gap,exterior,0.6296126413117267,True,1773,62.95554145198638,762.9695468998966,24.495330850610653,1773,False,,0.0,False
4.28609071987737,medium,low_axial_support_and_large_gap,confirmed,True,75.0,False,missing,421.46329212981146,7.254101413594001,5.815126178452222,8.19483878785017,E_N001012_N001021,102.41166058419628,762.8781608404319,64.01669801151152,3.5462028980255127,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""radial_deviation"", ""centerline_displacement""]",0.7057142857142856,True,low,,,,1012,1021,55.84560994969747,55.4260390608828,39.114947565823,True,-1.6323958637772795,82.65143472650553,763.0332633896633,83.74465925730956,0.0930232558139534,0.0930232558139534,1:0:-1,1.7445797660404074,4.28609071987737,missing,low_axial_support_and_large_gap,exterior,0.6296126413117267,True,1774,62.89120886881477,763.1883659388948,103.4726205031076,1774,True,421.46329212981146,1.0,True
