specimen_id,edge_id,source_strut_id,node_u,node_v,automated_defect_class,automated_group,human_ct_label,adjudicated_defect_class,adjudicated_group,validation_status,confidence,uncertainty,source_boundary_bin,source_orientation_key,source_label,method_ids,assumption_ids,reference_ids,u_ct_xyz_voxels,v_ct_xyz_voxels,midpoint_ct_xyz_voxels,u_lattice_xyz_mm,v_lattice_xyz_mm,midpoint_lattice_xyz_mm,orientation_family,orientation_direction,nearest_face_distance_mm,nearest_edge_distance_mm,nearest_corner_distance_mm,center_distance_mm,region_0p5_cell,region_1p0_cell,region_1p5_cell,center_core_3x3x3,build_cell_index,analysis_group,graph_cluster_id,dbscan_cluster_id,dbscan_cluster_eps_2p28_mm,dbscan_cluster_eps_4p56_mm,dbscan_cluster_eps_6p84_mm
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000005_N000012,10,N000005,N000012,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,boundary,ori101,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[59.27527160300262,52.40171252573408,105.43902161070515]","[98.79572331838412,52.091507427271225,65.9830991191091]","[79.03549746069336,52.246609976502654,85.71106036490713]","[0.0,0.0,4.56]","[2.28,0.0,2.28]","[1.14,0.0,3.42]",XZ,XZ:+-,0.0,1.14,3.604996532591952,33.00098180357669,edge,corner,corner,False,0,intentional,G0001,-1,-1,-1,D0001
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000120_N000123,214,N000120,N000123,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,boundary,ori101,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[770.2974609265673,88.16612999672907,66.43013430222348]","[730.7770092111857,88.47633509519197,105.88605679381948]","[750.5372350688765,88.32123254596053,86.15809554802148]","[41.04,2.28,2.28]","[38.76,2.28,4.56]","[39.9,2.28,3.42]",XZ,XZ:+-,1.1400000000000006,2.5491174943497605,4.265489420922293,31.633716190166467,edge,corner,corner,False,0,intentional,G0002,-1,-1,-1,-1
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000147_N001285,2289,N000147,N001285,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,near_boundary,ori011,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[218.03195491281042,209.551119857248,105.13293292540443]","[217.79890321756835,170.17238196490484,144.73082225763056]","[217.9154290651894,189.86175091107643,124.93187759151749]","[9.12,9.12,4.56]","[9.12,6.84,6.84]","[9.12,7.9799999999999995,5.699999999999999]",YZ,YZ:+-,5.699999999999999,9.806650804428594,13.391967741896632,22.513196130269908,interior,interior,face,False,1,intentional,G0003,D0001,-1,D0001,D0002
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000162_N001175,2303,N000162,N001175,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,near_boundary,ori011,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[257.0863032377078,130.48343897409873,144.87278909826068]","[257.3193549329498,169.86217686644193,105.27489976603455]","[257.2028290853288,150.17280792027032,125.07384443214761]","[11.399999999999999,4.56,6.84]","[11.399999999999999,6.84,4.56]","[11.399999999999999,5.699999999999999,5.699999999999999]",YZ,YZ:+-,5.699999999999999,8.06101730552664,13.962091533864115,22.8569289275703,interior,interior,edge,False,1,intentional,G0004,D0001,-1,D0001,D0002
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000189_N000204,2359,N000189,N000204,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,near_boundary,ori110,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[454.96166745558463,208.3463463834653,105.32926693331926]","[494.24906747572413,168.6574033926592,105.47123377394945]","[474.60536746565435,188.50187488806225,105.40025035363436]","[22.799999999999997,9.12,4.56]","[25.08,6.84,4.56]","[23.939999999999998,7.9799999999999995,4.56]",XY,XY:+-,4.56,9.190973833060346,19.413500457156097,20.583235897205277,interior,face,face,False,1,intentional,G0005,-1,-1,-1,-1
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000540_N000543,946,N000540,N000543,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,boundary,ori101,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[298.04511907026875,406.4808562390325,65.16351023857266]","[258.5246673548872,406.79106133749536,104.61943273016871]","[278.28489321257797,406.6359587882639,84.89147148437068]","[13.68,20.52,2.28]","[11.399999999999999,20.52,4.56]","[12.54,20.52,3.42]",XZ,XZ:+-,3.42,12.997999846130172,24.29029435803527,18.87035770726141,interior,face,face,False,4,intentional,G0006,-1,-1,-1,-1
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000739_N000755,1310,N000739,N000755,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,boundary,ori110,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[693.3297441155382,483.4491952730792,65.27224457314207]","[733.0189149429902,522.7365471059577,65.19572240181688]","[713.1743295292642,503.09287118951846,65.23398348747948]","[36.48,25.08,2.28]","[38.76,27.36,2.28]","[37.62,26.22,2.28]",XY,XY:++,2.28,4.1103284540289495,15.379440822084527,25.64366588458054,face,edge,edge,False,5,intentional,G0007,-1,-1,-1,-1
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000867_N000991,1728,N000867,N000991,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,boundary,ori110,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[654.4441149027111,602.1144330875698,64.9117887205567]","[694.1332857301632,641.4017849204482,64.8352665492315]","[674.2887003164371,621.7581090040089,64.8735276348941]","[34.199999999999996,31.919999999999998,2.28]","[36.48,34.199999999999996,2.28]","[35.339999999999996,33.059999999999995,2.28]",XY,XY:++,2.28,6.139087880133337,10.06820738761375,26.63797289584926,face,face,edge,False,7,intentional,G0008,-1,-1,-1,-1
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N000945_N000949,1666,N000945,N000949,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,boundary,ori011,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[457.3722922994594,682.2041153255723,104.0183328615876]","[457.203573187389,642.6065583942311,64.63893254131672]","[457.2879327434242,662.4053368599017,84.32863270145216]","[22.799999999999997,36.48,4.56]","[22.799999999999997,34.199999999999996,2.28]","[22.799999999999997,35.339999999999996,3.42]",YZ,YZ:++,3.42,6.647285160123645,19.4135004571561,22.7429285713164,interior,face,edge,False,7,intentional,G0009,-1,-1,-1,-1
210127_Brian_Tran_strut_lattices_0point5dash1_1,E_N001147_N001270,2251,N001147,N001270,intentionally_removed,intentional,,intentionally_removed,intentional,auto_supported,high,phase2b4_design_removed_consistent_preserved,boundary,ori110,phase2c_auto_supported_designed_removed_absent_or_disconnected,PHASE2C-MANUAL-QUEUE-TRIAGE-001|PHASE2B4-AUTO-REVIEW-001,A-PHASE2C-TRIAGE-001|A-PHASE2B4-AUTO-REVIEW-001,LLNL-DSC-2026|FisherTran2023RUS|Hampel1974,"[59.8457615223855,170.97556428075995,144.5999329190207]","[99.13316154252486,131.2866212899539,144.74189975965083]","[79.48946153245518,151.13109278535694,144.67091633933575]","[0.0,6.84,6.84]","[2.28,4.56,6.84]","[1.14,5.699999999999999,6.84]",XY,XY:+-,1.14,5.812882245495774,8.976368976373465,27.970684653758475,face,face,corner,False,1,intentional,G0010,-1,-1,-1,D0001
