edge_id,source_strut_id,node_u,node_v,phase2b3_design_intent_state,phase2b3_ct_observation_label,phase2b3_integrated_guarded_label,phase2b3_confidence_tier,phase2b3_review_status,phase2b3_review_reason,phase2b3_ct_reason,phase2b3_missing_evidence_count,ct_anomaly_rank,ct_missing_material_anomaly_score,occupied_axial_fraction,longest_low_area_gap_fraction,area_mean_voxels2,core_minus_background_contrast,negative_template_residual,bridge_connected_26,threshold_stability_occupied_fraction_range,local_registration_stability_voxels,orientation_key,boundary_bin,spatial_region,phase2b4_automated_review_label,phase2b4_automated_review_status,phase2b4_confidence_tier,phase2b4_review_reason,phase2b4_boundary_caution,phase2b4_clean_for_auto_support
E_N001379_N001506,4665,N001379,N001506,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,217,3.6000000000000005,0.0,1.0,0.0,0.37093425605536334,1.6666666666666667,False,0.3333333333333333,2.5,ori110,boundary,r200,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N000245_N000251,647,N000245,N000251,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,7,232,3.528075396825397,0.0,1.0,0.125,-0.12991452991452992,1.5634920634920635,False,0.4583333333333333,2.5,ori101,boundary,r200,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N000240_N000375,640,N000240,N000375,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,239,3.5166666666666666,0.0,1.0,0.0,0.17099863201094392,1.5,False,0.6666666666666666,2.5,ori011,boundary,r200,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N003773_N003777,6691,N003773,N003777,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,241,3.50625,0.0,1.0,0.25,2.360230547550432,1.5,False,0.625,2.5,ori011,boundary,r201,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N003647_N003651,6471,N003647,N003651,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,244,3.4958333333333336,0.0,1.0,0.2916666666666667,2.6882352941176473,1.5,False,0.5833333333333334,2.5,ori011,boundary,r201,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N004907_N004911,8707,N004907,N004911,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,245,3.4958333333333336,0.0,1.0,0.20833333333333334,1.7775061124694376,1.5,False,0.5833333333333334,2.5,ori011,boundary,r201,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N000119_N001383,2436,N000119,N001383,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,249,3.4645833333333336,0.0,1.0,0.041666666666666664,4.3633217993079585,1.5,False,0.4583333333333333,2.5,ori011,boundary,r200,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N000245_N000249,423,N000245,N000249,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,250,3.4645833333333336,0.0,1.0,0.0,1.9187725631768953,1.5,False,0.4583333333333333,2.5,ori011,boundary,r200,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N001379_N002643,4672,N001379,N002643,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,6,253,3.4541666666666666,0.0,1.0,0.16666666666666666,2.324455205811138,1.5,False,0.4166666666666667,2.5,ori011,boundary,r200,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
E_N008813_N010077,18156,N008813,N010077,design_present_or_unmapped,ct_absent_candidate,possible_unintended_missing,review_guarded,review_required,possible_unintended_defect_requires_review|threshold_sensitive|registration_unstable,high_anomaly_low_area_low_occupancy_long_gap,7,264,3.4270833333333335,0.0,1.0,0.2916666666666667,-0.35212660731948564,1.4,False,0.7083333333333334,2.5,ori011,boundary,r222,manual_review_possible_unintended_missing,blocked_manual_review,blocked,possible_unintended_missing_not_clean_enough_for_auto_support,boundary_or_skin_region,false
